country,total_articles,high_quality_articles,population,total_articles_per_capita,high_quality_articles_per_capita
afghanistan,85,3,42.4,2.0047169811320757,0.07075471698113207
albania,70,7,2.7,25.925925925925924,2.5925925925925926
algeria,71,1,46.8,1.5170940170940173,0.021367521367521368
angola,58,2,36.7,1.5803814713896456,0.0544959128065395
antigua and barbuda,33,0,0.1,330.0,0.0
argentina,64,1,46.3,1.3822894168466524,0.021598272138228944
armenia,36,1,3.0,12.0,0.3333333333333333
austria,74,1,9.2,8.043478260869566,0.10869565217391305
azerbaijan,80,3,10.2,7.843137254901961,0.29411764705882354
bahamas,9,0,0.4,22.5,0.0
bahrain,43,1,1.6,26.875,0.625
bangladesh,74,1,173.5,0.4265129682997118,0.005763688760806916
barbados,25,0,0.3,83.33333333333334,0.0
belarus,39,5,9.2,4.239130434782609,0.5434782608695653
belgium,77,1,11.8,6.525423728813559,0.0847457627118644
belize,9,0,0.5,18.0,0.0
benin,7,0,13.7,0.5109489051094891,0.0
bhutan,44,0,0.8,55.0,0.0
bolivia,27,2,12.2,2.2131147540983607,0.1639344262295082
bosnia herzegovina,43,2,3.4,12.647058823529411,0.5882352941176471
botswana,3,0,2.7,1.111111111111111,0.0
brazil,103,6,204.0,0.5049019607843137,0.029411764705882353
bulgaria,66,3,6.4,10.3125,0.46875
burkina faso,26,2,22.9,1.1353711790393013,0.08733624454148473
burundi,16,3,13.2,1.2121212121212122,0.2272727272727273
cambodia,37,1,17.0,2.176470588235294,0.058823529411764705
cameroon,45,2,28.1,1.601423487544484,0.07117437722419928
cape verde,9,0,0.6,15.0,0.0
central african republic,15,1,6.2,2.4193548387096775,0.16129032258064516
chad,21,0,18.3,1.1475409836065573,0.0
chile,59,1,20.0,2.95,0.05
china,48,0,1411.3,0.0340111953518033,0.0
colombia,78,1,52.2,1.4942528735632183,0.019157088122605363
comoros,23,0,0.9,25.555555555555554,0.0
congo,31,0,6.1,5.081967213114754,0.0
congo dr,53,2,102.3,0.5180840664711632,0.019550342130987292
costa rica,62,1,5.3,11.69811320754717,0.18867924528301888
cote d'ivoire,10,0,30.9,0.3236245954692557,0.0
croatia,65,5,3.8,17.105263157894736,1.3157894736842106
cuba,50,6,11.0,4.545454545454546,0.5454545454545454
cyprus,16,0,1.3,12.307692307692307,0.0
czechia,60,2,10.9,5.504587155963303,0.18348623853211007
djibouti,15,0,1.1,13.636363636363635,0.0
dominican republic,37,2,11.3,3.2743362831858405,0.17699115044247787
ecuador,33,0,17.1,1.9298245614035086,0.0
egypt,32,1,105.2,0.3041825095057034,0.009505703422053232
el salvador,28,3,6.4,4.375,0.46875
equatorial guinea,2,0,1.7,1.1764705882352942,0.0
eritrea,15,0,3.7,4.0540540540540535,0.0
estonia,15,0,1.4,10.714285714285715,0.0
ethiopia,44,2,126.5,0.34782608695652173,0.015810276679841896
federated states of micronesia,14,0,0.1,140.0,0.0
finland,41,2,5.6,7.321428571428572,0.35714285714285715
france,119,5,65.9,1.8057663125948404,0.07587253414264036
gabon,5,1,2.4,2.0833333333333335,0.4166666666666667
gambia,18,0,2.8,6.428571428571429,0.0
germany,103,5,84.9,1.2131919905771495,0.058892815076560655
ghana,3,1,34.1,0.0879765395894428,0.029325513196480937
greece,52,1,10.6,4.90566037735849,0.09433962264150944
grenada,2,0,0.1,20.0,0.0
guatemala,28,3,18.1,1.5469613259668507,0.16574585635359115
guinea,35,1,14.2,2.4647887323943665,0.07042253521126761
guinea-bissau,8,0,2.2,3.6363636363636362,0.0
guyana,17,1,0.8,21.25,1.25
haiti,34,0,11.6,2.931034482758621,0.0
honduras,17,0,9.7,1.752577319587629,0.0
hungary,86,2,9.6,8.958333333333334,0.20833333333333334
india,151,0,1428.6,0.10569788604227916,0.0
indonesia,113,15,278.7,0.405453893074991,0.05382131324004306
iran,69,3,89.2,0.773542600896861,0.033632286995515695
iraq,93,7,45.5,2.043956043956044,0.15384615384615385
israel,2,0,9.8,0.2040816326530612,0.0
italy,148,2,58.8,2.5170068027210886,0.034013605442176874
japan,117,2,124.5,0.9397590361445783,0.01606425702811245
jordan,36,2,11.4,3.1578947368421053,0.17543859649122806
kazakhstan,36,3,19.9,1.8090452261306533,0.15075376884422112
kenya,125,3,55.1,2.268602540834846,0.0544464609800363
kosovo,26,4,1.7,15.294117647058824,2.3529411764705883
kuwait,17,0,4.4,3.8636363636363633,0.0
kyrgyzstan,19,1,6.8,2.794117647058824,0.14705882352941177
laos,5,0,7.5,0.6666666666666666,0.0
latvia,7,1,1.9,3.68421052631579,0.5263157894736842
lebanon,51,1,5.4,9.444444444444445,0.18518518518518517
