region,total_articles,high_quality_articles,population,total_articles_per_capita,high_quality_articles_per_capita
SOUTHERN EUROPE,797,53,151.5,5.260726072607261,0.3498349834983498
NORTHERN EUROPE,191,9,27.8,6.870503597122302,0.3237410071942446
CARIBBEAN,218,9,36.6,5.956284153005464,0.2459016393442623
CENTRAL AMERICA,188,10,51.3,3.664717348927875,0.1949317738791423
EASTERN EUROPE,709,38,266.2,2.6634109691960934,0.1427498121712997
SOUTHERN AFRICA,123,8,68.3,1.800878477306003,0.1171303074670571
WESTERN EUROPE,497,21,181.3,2.741312741312741,0.1158301158301158
WESTERN ASIA,609,27,295.4,2.0616113744075832,0.0914014895057549
OCEANIA,72,1,11.1,6.486486486486487,0.0900900900900901
NORTHERN AFRICA,302,17,255.9,1.180148495506057,0.0664322000781555
CENTRAL ASIA,106,5,80.4,1.3184079601990049,0.0621890547263681
SOUTH AMERICA,569,19,425.0,1.3388235294117647,0.0447058823529411
SOUTHEAST ASIA,395,25,564.1,0.7002304555929799,0.0443183832653784
MIDDLE AFRICA,230,8,201.8,1.1397423191278493,0.0396432111000991
EASTERN AFRICA,664,17,480.9,1.3807444375129965,0.0353503846953628
WESTERN AFRICA,521,13,442.3,1.17793352927877,0.0293918155098349
SOUTH ASIA,670,21,2029.2,0.3301793810368618,0.0103489059727971
EAST ASIA,184,3,1562.7,0.1177449286491329,0.0019197542714532
